"perm","timestep","id","parent_id","x","y","stage","birth_timestep","have_info","detected","managing","last_known_timestep"
1,13,83,9,1658.40896557497,2040.61612774906,1,13,FALSE,FALSE,FALSE,NA
1,13,84,14,1438.5809882146,1473.49281592793,1,13,FALSE,FALSE,FALSE,NA
1,13,85,16,1468.53317213556,1498.90456486348,1,13,FALSE,FALSE,FALSE,NA
1,13,86,18,952.845284673823,670.357520308434,1,13,FALSE,FALSE,FALSE,NA
1,13,87,19,1493.81305264951,2010.5324713789,1,13,FALSE,FALSE,FALSE,NA
1,13,88,22,1365.9840483379,936.139309877804,1,13,FALSE,FALSE,FALSE,NA
1,13,89,22,788.28910332404,770.314572960639,1,13,FALSE,FALSE,FALSE,NA
1,13,90,22,1432.73232335381,434.02452579111,1,13,FALSE,FALSE,FALSE,NA
1,13,91,23,1533.23779631727,1345.77785764303,1,13,FALSE,FALSE,FALSE,NA
1,13,92,23,1657.61304583093,1102.02157745498,1,13,FALSE,FALSE,FALSE,NA
1,13,93,24,1852.39873809083,1217.5658963974,1,13,FALSE,FALSE,FALSE,NA
1,13,94,24,1093.32582647312,1272.55546121696,1,13,FALSE,FALSE,FALSE,NA
1,13,95,27,1323.53437660028,1478.36993683683,1,13,FALSE,FALSE,FALSE,NA
1,13,96,28,1347.00802781266,1455.59460988719,1,13,FALSE,FALSE,FALSE,NA
1,13,97,31,1074.6397491716,1459.15327413895,1,13,FALSE,FALSE,FALSE,NA
1,13,98,31,1178.53948602717,1675.25700341911,1,13,FALSE,FALSE,FALSE,NA
1,13,99,32,837.131168369211,1476.65856812934,1,13,FALSE,FALSE,FALSE,NA
1,13,100,33,1289.95063221904,1500.44364836461,1,13,FALSE,FALSE,FALSE,NA
1,13,101,34,908.981710133479,1810.25195409654,1,13,FALSE,FALSE,FALSE,NA
1,13,102,34,956.44379585759,1811.20069424044,1,13,FALSE,FALSE,FALSE,NA
1,13,103,34,998.2925916077,2406.51265126212,1,13,FALSE,FALSE,FALSE,NA
1,13,104,34,1135.93076083905,1509.8025972989,1,13,FALSE,FALSE,FALSE,NA
1,13,105,35,2539.69932600556,386.629222015352,1,13,FALSE,FALSE,FALSE,NA
1,13,106,35,924.336582115257,585.009622208513,1,13,FALSE,FALSE,FALSE,NA
1,13,107,36,347.122772911925,295.763466955907,1,13,FALSE,FALSE,FALSE,NA
1,13,108,39,1148.18317914264,1785.12609345952,1,13,FALSE,FALSE,FALSE,NA
1,13,109,39,1596.68507417634,1746.04080398248,1,13,FALSE,FALSE,FALSE,NA
1,13,110,40,1251.73416380849,1948.95595151851,1,13,FALSE,FALSE,FALSE,NA
1,13,111,42,845.133208262229,2700.53905721739,1,13,FALSE,FALSE,FALSE,NA
1,13,112,42,1389.72405393695,2500.62654395424,1,13,FALSE,FALSE,FALSE,NA
1,13,113,42,1112.87650501927,1943.27051274184,1,13,FALSE,FALSE,FALSE,NA
1,13,114,43,1353.39017488211,1372.07179211009,1,13,FALSE,FALSE,FALSE,NA
1,13,115,43,1217.88284125073,1548.13308581533,1,13,FALSE,FALSE,FALSE,NA
1,13,116,45,1000.90935554786,1162.68795576485,1,13,FALSE,FALSE,FALSE,NA
1,13,117,48,1128.36302296778,1490.20933457796,1,13,FALSE,FALSE,FALSE,NA
1,13,118,49,631.602191404194,2131.85857213424,1,13,FALSE,FALSE,FALSE,NA
1,13,119,54,2278.50451972999,949.240941041701,1,13,FALSE,FALSE,FALSE,NA
1,13,120,54,1747.84970972334,688.328554239502,1,13,FALSE,FALSE,FALSE,NA
1,13,121,55,1804.28289872536,1165.24667183595,1,13,FALSE,FALSE,FALSE,NA
1,13,122,55,1947.94947444029,1210.83682186025,1,13,FALSE,FALSE,FALSE,NA
1,14,4,1,1474.25620741753,1516.39056316706,2,2,FALSE,FALSE,FALSE,NA
1,14,13,4,1433.50117644731,1748.94270948081,2,8,FALSE,FALSE,FALSE,NA
1,14,14,5,1329.87624723156,1488.47337762524,2,8,FALSE,FALSE,FALSE,NA
1,14,17,5,1589.12725087032,1494.74703179027,2,9,FALSE,FALSE,FALSE,NA
1,14,19,5,1540.24026513888,1459.58941649654,2,9,FALSE,FALSE,FALSE,NA
1,14,20,7,1335.95661400001,1901.85688895907,2,9,FALSE,FALSE,FALSE,NA
1,14,22,9,769.761206551756,776.365576737845,2,9,FALSE,FALSE,FALSE,NA
1,14,23,9,1506.55706017366,1234.37453867278,2,9,FALSE,FALSE,FALSE,NA
1,14,27,9,1562.29359134906,1812.09677157641,2,10,FALSE,FALSE,FALSE,NA
1,14,28,11,1345.75067272737,1461.59030285179,2,10,FALSE,FALSE,FALSE,NA
1,14,31,15,1175.60763360288,1633.56068106508,2,10,FALSE,FALSE,FALSE,NA
1,14,33,15,1294.4151803067,1503.45629184798,2,10,FALSE,FALSE,FALSE,NA
1,14,34,15,940.138917545973,1788.54211326201,2,10,FALSE,FALSE,FALSE,NA
1,14,37,13,1345.09795763862,1827.46727956272,2,11,FALSE,FALSE,FALSE,NA
1,14,38,13,1411.40616025012,1573.28321745224,2,11,FALSE,FALSE,FALSE,NA
1,14,39,13,1396.19986844687,1652.8641633748,2,11,FALSE,FALSE,FALSE,NA
1,14,45,16,1086.75765330928,1361.51444860359,2,11,FALSE,FALSE,FALSE,NA
1,14,46,18,1111.8350106552,807.92980630979,2,11,FALSE,FALSE,FALSE,NA
