"perm","timestep","event","point_id","parent_id","x","y","stage_from","stage_to","detail","provisional_x","provisional_y","habitat","habitat_nudged"
1,18,"stage_transition",193,64,512.37964635297,1927.34800188518,1,2,"transition_kernel",512.37964635297,1927.34800188518,1,FALSE
1,18,"stage_transition",202,79,1181.78263811937,1594.687037828,1,2,"transition_kernel",1181.78263811937,1594.687037828,1,FALSE
1,18,"stage_transition",208,86,1042.61083184751,790.443580307929,1,2,"transition_kernel",1042.61083184751,790.443580307929,1,FALSE
1,18,"stage_transition",214,91,1590.93304993936,1555.51796532712,1,2,"transition_kernel",1590.93304993936,1555.51796532712,1,FALSE
1,18,"stage_transition",238,27,1494.71147568033,2032.10236105608,1,2,"transition_kernel",1494.71147568033,2032.10236105608,1,FALSE
1,18,"stage_transition",243,37,1362.72934319862,1740.14447072218,1,2,"transition_kernel",1362.72934319862,1740.14447072218,1,FALSE
1,18,"stage_transition",262,69,1151.81244997179,822.196757247253,1,2,"transition_kernel",1151.81244997179,822.196757247253,1,FALSE
1,18,"stage_transition",265,71,1825.73282085962,1530.14728917345,1,2,"transition_kernel",1825.73282085962,1530.14728917345,1,FALSE
1,18,"stage_transition",267,72,1348.50911801992,1648.09255055061,1,2,"transition_kernel",1348.50911801992,1648.09255055061,1,FALSE
1,18,"stage_transition",285,94,975.135888429946,1441.40292496238,1,2,"transition_kernel",975.135888429946,1441.40292496238,1,FALSE
1,18,"stage_transition",289,100,1427.38614368455,1565.02843510511,1,2,"transition_kernel",1427.38614368455,1565.02843510511,1,FALSE
1,18,"stage_transition",294,106,636.858594683211,380.443265007975,1,2,"transition_kernel",636.858594683211,380.443265007975,1,FALSE
1,18,"stage_transition",298,111,964.22557938711,2617.30324098026,1,2,"transition_kernel",964.22557938711,2617.30324098026,1,FALSE
1,18,"stage_transition",315,127,1194.01735760902,1472.44434230482,1,2,"transition_kernel",1194.01735760902,1472.44434230482,1,FALSE
1,18,"stage_transition",332,147,1335.44411687977,381.375564727431,1,2,"transition_kernel",1335.44411687977,381.375564727431,1,FALSE
1,18,"stage_transition",334,152,694.687312106956,1705.62187831577,1,2,"transition_kernel",694.687312106956,1705.62187831577,1,FALSE
1,18,"stage_transition",336,155,1173.18865455988,1315.36215612519,1,2,"transition_kernel",1173.18865455988,1315.36215612519,1,FALSE
1,18,"stage_transition",344,4,1435.06694280875,1511.32719287348,1,2,"transition_kernel",1435.06694280875,1511.32719287348,1,FALSE
1,18,"stage_transition",348,17,1713.89321223508,1382.74428391361,1,2,"transition_kernel",1713.89321223508,1382.74428391361,1,FALSE
1,18,"stage_transition",349,19,1369.93959814214,1526.41631450889,1,2,"transition_kernel",1369.93959814214,1526.41631450889,1,FALSE
1,18,"stage_transition",350,19,1640.14139526919,1482.18477479683,1,2,"transition_kernel",1640.14139526919,1482.18477479683,1,FALSE
1,18,"stage_transition",351,19,1481.29337228194,1407.56826750381,1,2,"transition_kernel",1481.29337228194,1407.56826750381,1,FALSE
1,18,"stage_transition",352,22,1134.23553840883,356.705289406839,1,2,"transition_kernel",1134.23553840883,356.705289406839,1,FALSE
1,18,"stage_transition",353,22,652.109651240688,645.439973600438,1,2,"transition_kernel",652.109651240688,645.439973600438,1,FALSE
1,18,"stage_transition",354,22,786.235524817341,642.469154211567,1,2,"transition_kernel",786.235524817341,642.469154211567,1,FALSE
1,18,"stage_transition",355,27,1816.72054782608,1970.03093796524,1,2,"transition_kernel",1816.72054782608,1970.03093796524,1,FALSE
1,18,"stage_transition",356,27,1447.9993723905,2040.87023014328,1,2,"transition_kernel",1447.9993723905,2040.87023014328,1,FALSE
1,18,"stage_transition",358,45,1032.41062509712,1257.9560963434,1,2,"transition_kernel",1032.41062509712,1257.9560963434,1,FALSE
1,18,"stage_transition",359,48,1349.38522338095,938.916187432535,1,2,"transition_kernel",1349.38522338095,938.916187432535,1,FALSE
1,18,"stage_transition",361,49,1400.36149700876,1262.16475501709,1,2,"transition_kernel",1400.36149700876,1262.16475501709,1,FALSE
1,18,"stage_transition",362,49,1262.6774022502,1044.89492879037,1,2,"transition_kernel",1262.6774022502,1044.89492879037,1,FALSE
1,18,"stage_transition",364,56,2201.89635933332,1978.90479828031,1,2,"transition_kernel",2201.89635933332,1978.90479828031,1,FALSE
1,18,"stage_transition",365,61,1700.41616106434,868.984885969164,1,2,"transition_kernel",1700.41616106434,868.984885969164,1,FALSE
1,18,"stage_transition",367,62,1597.88838441969,1041.35651026793,1,2,"transition_kernel",1597.88838441969,1041.35651026793,1,FALSE
