Id,x,y,ha,humans,growers,N0,EI,EI_2050,EI_2090,gens,gens_2050,gens_2090,hosts,hosts_veg100,hosts_all100
4520,605.4,1334.5,2521.8,131.5,0,0,16.2,19.3,36.5,8.1,9.06,11.04,733,733,252179.1583
4521,609.6,1334.5,2521.8,77.6,0,0,13.9,16.4,24.9,8.08,9.05,11.02,1094,1094,252182.9803
4522,613.8,1334.5,2521.9,45.7,0,0,10.2,12.3,15.6,7.26,8.19,10.12,1514,1514,252186.8618
4523,618.0,1334.5,2521.9,172.8,0,0,8.3,10.3,13.5,6.95,7.93,9.99,1959,1959,252191.2852
4524,622.2,1334.5,2522.0,205.5,0,0,11.2,13.1,16.4,7.61,8.61,10.7,1929,1929,252195.7274
4525,626.4,1334.5,2522.0,662.5,0,0,14.2,16.1,23.9,8.16,9.17,11.3,32580,32580,252200.5773
4526,630.6,1334.5,2522.1,142.4,0,0,15.8,18.1,32.1,8.39,9.41,11.54,1786,1786,252205.4739
4527,634.8,1334.5,3390.8,3639.8,0,0,17.2,20.8,38.5,8.49,9.52,11.65,1774,1774,339080.4706
4531,651.6,1334.5,3143.0,120.6,0,0,21.0,33.5,46.0,8.56,9.55,11.75,1127,1127,314301.7355
4532,655.9,1334.5,4440.7,57.4,0,0,22.0,35.2,47.9,8.68,9.68,11.89,412,412,444065.2614
4753,563.4,1328.9,1277.8,15.6,0,0,42.6,48.9,56.8,8.62,9.55,11.56,1042,1042,127777.9593
4754,567.6,1328.9,2599.7,60.0,0,0,32.6,39.9,49.0,8.83,9.76,11.78,1247,1247,259965.4258
4755,571.8,1328.9,2172.1,138.6,0,0,27.4,35.2,45.9,8.38,9.29,11.29,1355,1355,217212.6289
4756,576.0,1328.9,2520.1,70.6,0,0,24.4,31.7,43.7,8.31,9.19,11.18,1403,1403,252007.8871
4757,580.2,1328.9,2520.1,15.0,0,0,22.7,29.5,42.4,8.18,9.03,11.02,6171,6171,252009.6989
4758,584.4,1328.9,2520.1,7.7,0,0,24.7,32.6,45.1,8.28,9.11,11.1,5299,5299,252011.5954
4759,588.6,1328.9,2942.3,54.0,0,0,26.2,35.1,47.6,8.02,8.82,10.8,898,898,294226.3774
4760,592.8,1328.9,3004.6,134.1,0,0,28.4,37.8,49.9,8.59,9.37,11.37,2296,2296,300461.8556
4762,601.2,1328.9,2817.4,89.0,0,0,30.5,40.2,51.8,8.55,9.33,11.33,1524,1524,281739.9564
4763,605.4,1328.9,2520.3,78.7,0,0,22.1,33.1,47.8,7.86,8.82,10.79,1547,1547,252026.1285
4764,609.6,1328.9,2520.3,173.0,0,0,14.3,17.2,29.8,7.83,8.78,10.75,6957,6957,252029.9668
4765,613.8,1328.9,2520.3,598.5,0,0,12.6,14.8,21.0,7.21,8.15,10.08,31513,4564,252033.865
4766,618.0,1328.9,2520.4,122.9,0,0,11.5,13.6,17.2,7.48,8.48,10.57,2148,2148,252038.2821
4767,622.2,1328.9,2520.4,413.5,0,0,12.1,14.1,18.3,7.51,8.5,10.59,15000,4348,252042.6831
4768,626.4,1328.9,2520.5,197.2,0,0,13.4,15.3,20.8,8.16,9.17,11.3,4124,4124,252047.4772
4769,630.6,1328.9,2520.5,268.7,0,0,15.7,18.1,32.5,8.35,9.38,11.51,1780,1780,252052.3547
4770,634.8,1328.9,2520.6,52.8,0,0,17.0,20.5,38.9,8.27,9.29,11.42,1473,1473,252058.1679
4771,639.0,1328.9,3051.1,474.2,0,0,17.0,20.1,37.0,8.45,9.53,11.73,331,331,305111.018
4772,643.2,1328.9,2465.0,881.8,0,0,17.7,22.9,38.6,8.8,9.89,12.11,944,944,246497.7651
4773,647.4,1328.9,2453.3,10.4,0,0,17.6,22.9,37.1,8.63,9.72,11.93,636,636,245334.9907
