farm_id,size_ha,bef_nos,shp_nos,postal_twn,locality,postal_cod,farm_type,sheep_or_beef,X,Y,Avg_EI,Probability_Estab
MB01019,181.27,144,1000,Blenheim,Wairau Valley,7271,BEF,1,173.44039996698174,-41.603084450000004,15,0.4
MB01025,321,22,503,Ward,Ward,7248,SNB,1,174.1229942640496,-41.8828124,44,0.8400000000000001
MB01029,9.68,5,2,Blenheim,Blenheim,7271,BEF,1,173.62869715511312,-41.54224549999999,10,0.26666666666666666
MB01033,87.25,196,0,Seddon,Blenheim,7285,BEF,1,173.66944104820428,-41.651759350000006,29,0.7733333333333333
MB01060,75.99,18,150,Blenheim,Blenheim,7272,SHP,1,173.82839481544954,-41.56765505,30,0.8
MB01069,0.96,2,1,Blenheim,Blenheim,7201,SHP,1,173.9174080057959,-41.5147141,30,0.8
MB01084,22.89,50,0,Picton,Renwick,7220,BEF,1,173.76979456749507,-41.48320265,18,0.48
MB01102,3.21,2,2,Blenheim,Wairau Valley,7271,SNB,1,173.5378284920739,-41.56659515,33,0.8085714285714286
MB01118,305.1,146,220,Blenheim,Blenheim,7271,SNB,1,173.57464551144272,-41.58323575000001,28.5,0.76
MB01138,46.8,150,50,Blenheim,Blenheim,7273,BEF,1,174.02785908565323,-41.4823973,34,0.8114285714285715
MB01147,4.27,0,0,Blenheim,Blenheim,7272,SHP,1,173.92195304287534,-41.5349367,30,0.8
MB01152,15.99,12,0,Blenheim,Blenheim,7271,SNB,1,173.4874500237019,-41.5833495,17,0.4533333333333333
MB01170,122.45,157,450,Blenheim,Blenheim,7271,SNB,1,173.46442993207017,-41.6019213,23.5,0.6266666666666666
MB01214,15.62,18,12,Blenheim,Blenheim,7272,BEF,1,173.86670135793548,-41.56239335,29,0.7733333333333333
MB01244,1186.71,140,1152,Blenheim,Blenheim,7240,SNB,1,173.95695807979416,-41.55300939999999,29.25,0.78
MB01273,3.12,4,0,Blenheim,Blenheim,7273,BEF,1,173.8458267652149,-41.450699099999994,19.5,0.52
MB01302,90,300,500,Blenheim,Blenheim,7272,SNB,1,173.88930664624934,-41.56085395,29,0.7733333333333333
MB01342,115.74,100,0,Auckland,Blenheim,1142,BEF,1,173.4538835667987,-41.58659835,11,0.29333333333333333
MB01356,194.1,0,179,Seddon,Seddon,7285,SHP,1,174.06340590990956,-41.691500000000005,32,0.8057142857142857
MB01397,236.04,118,0,Blenheim,Riverlands,7274,BEF,1,173.99432075545354,-41.550972,30,0.8
MB01418,12.14,12,250,Seddon,Seddon,7285,SNB,1,174.14252019961344,-41.66420554999999,30,0.8
MB01444,71.78,0,112,Blenheim,Blenheim,7272,SHP,1,173.7777619857582,-41.58988419999999,30,0.8
MB01452,93.01,50,150,Blenheim,Blenheim,7240,BEF,1,173.35561862027777,-41.636847100000004,24.5,0.6533333333333333
MB01504,40.36,0,200,Blenheim,Rapaura,7201,SHP,1,173.88270418799354,-41.48438604999999,35,0.8142857142857143
MB01529,32.15,0,0,Blenheim,Blenheim,7272,SHP,1,173.8430235871312,-41.56737255,30,0.8
MB01591,11.46,3,32,Blenheim,Renwick,7276,SHP,1,173.75559124817528,-41.5629617,30,0.8
MB01619,27,10,85,Blenheim,Blenheim,7201,SHP,1,173.62873390752938,-41.5323412,10,0.26666666666666666
MB01627,8.25,0,72,Blenheim,Blenheim,7273,SHP,1,173.95709219671312,-41.469485399999996,32,0.8057142857142857
MB01629,8.47,0,35,Blenheim,Wairau Valley,7271,SHP,1,173.56802840411808,-41.55136875,19,0.5066666666666666
MB01635,814.16,342,50,Nelson,Ward,7011,BEF,1,174.01164867885274,-41.83759585,32.333333333333336,0.8066666666666668
MB01659,11.6,3,147,Blenheim,Picton,7273,SHP,1,173.95934137429123,-41.3397523,10,0.26666666666666666
MB01665,8.44,0,85,Blenheim,Riverlands,7201,SHP,1,174.02582207016468,-41.526323899999994,29,0.7733333333333333
MB01679,8,0,32,Blenheim,Brancott Valley,7201,SHP,1,173.83657030346103,-41.561484500000006,30,0.8
MB01720,14.57,10,0,Blenheim,Blenheim,7272,BEF,1,173.86486953835137,-41.55801365,29,0.7733333333333333
MB01740,340.42,110,1660,Blenheim,Blenheim,7201,SNB,1,173.47369092667805,-41.6067156,23.5,0.6266666666666666
MB01748,173.62,0,2470,NA,Blenheim,NA,SHP,1,174.1304795755708,-41.7756292,33,0.8085714285714286
MB01856,80,0,0,Blenheim,Blenheim,7272,BEF,1,173.91197245489204,-41.498856999999994,31.666666666666668,0.8047619047619048
MB01873,15.3,25,0,Blenheim,Renwick,7275,BEF,1,173.72838129235402,-41.46485505,6,0.16
MB01913,13.6,0,46,Blenheim,Blenheim,7271,SHP,1,173.5287126402216,-41.5600956,33,0.8085714285714286
MB01920,7.99,14,33,Blenheim,Blenheim,7272,BEF,1,173.88859893057077,-41.5327752,31,0.8028571428571429
MB01934,191.54,0,1176,Blenheim,Blenheim,7271,SHP,1,173.50505286297658,-41.5690714,25,0.6666666666666665
