farm_id,size_ha,bef_nos,shp_nos,postal_twn,locality,postal_cod,farm_type,X,Y,Avg_EI,CNGpresent,CNGclose,sheep_or_beef_or_CNG,Probability_Estab
HS00250,594.38,233,4010,Hastings,Hastings,4171,SNB,176.4922478091056,-39.70530490000001,9,0,0,1,0.225
HS00251,77.2,160,6,Hastings,Haumoana,4221,BEF,176.93838078189975,-39.65370864999999,35,0,0,1,0.875
HS00253,691.5,734,835,Havelock North,Havelock North,4294,SNB,176.95352192622107,-39.6725708,32,0,0,1,0.8
HS00254,17,79,0,Hastings,Matapiro,4179,SNB,176.63697275273665,-39.586666199999996,35,0,0,1,0.875
HS00255,665.6,311,4520,Havelock North,Havelock North,4294,SNB,176.96593480430897,-39.77133265,25.5,0,0,1,0.6375
HS00256,234.8,110,1400,Havelock North,Havelock North,4294,BEF,176.94713077502496,-39.70771775,27.5,0,0,1,0.6875
HS00257,920,460,5707,Hastings,Maraetotara,4172,SNB,176.84421449558258,-39.8699517,9.333333333333334,0,0,1,0.23333333333333336
HS00259,720,303,1797,Havelock North,Waimarama,4294,SNB,176.9380669023917,-39.85832395,20.75,0,0,1,0.51875
HS00264,2000,1275,11170,Havelock North,Waimarama,4294,SNB,176.9556607763917,-39.8080674,20,0,0,1,0.5
HS00266,1182,578,5834,Havelock North,Havelock North,4157,SNB,176.87522402391454,-39.79692595,22,0,0,1,0.55
HS00267,304.8,162,2500,Napier,Maraekakaho,4110,SHP,176.5565870564659,-39.6736956,28.666666666666668,58,66,1,0.7166666666666667
HS00268,575.2,283,2590,Napier,Napier,4181,SNB,176.83937779402504,-39.35143855,11,0,0,1,0.275
HS00269,35,81,0,Hastings,Sherenden,4179,BEF,176.5869153611439,-39.50817185,22,0,0,1,0.55
HS00270,413.8,138,2460,Hastings,Hastings,4179,SNB,176.50784918079586,-39.4396622,14.5,0,0,1,0.3625
HS00271,2108.7,235,4462,Hastings,Te Awanga,4175,SNB,177.05152509532002,-39.65920025,31.4,0,0,1,0.785
HS00273,2099.23,1750,9250,Wellington,Waimarama,6035,BEF,177.00195205943606,-39.686860349999996,29.333333333333332,0,0,1,0.7333333333333333
HS00274,450,360,3000,Hastings,Hastings,4178,SNB,176.77760905354842,-39.74274054999999,31,0,0,1,0.775
HS00276,586.2,240,3480,Napier,Rissington,4186,SNB,176.58685645281676,-39.44494834999999,19.666666666666668,0,0,1,0.4916666666666667
HS00278,516.5,450,7000,Hastings,Kahuranaki,4158,SNB,176.81681591252953,-39.7993295,27.75,0,2,1,0.69375
HS00279,723.17,336,4400,Napier,Poraiti,4182,SNB,176.77539335967003,-39.4703432,25.5,0,0,1,0.6375
HS00280,448.7,800,2700,Napier,Puketapu,4183,SNB,176.7498973455225,-39.51875875,31.5,0,0,1,0.7875
HS00281,30.8,0,0,Hastings,Te Aute,4153,BEF,176.66684450140895,-39.80885895,31.333333333333332,0,0,1,0.7833333333333333
HS00282,60.7,0,60,Hastings,Te Hauke,4178,SNB,176.65615370740943,-39.7935986,32,0,0,1,0.8
HS00284,631.4,308,3529,Hastings,Hastings,4178,SNB,176.71148818140483,-39.71707484999999,36.333333333333336,0,0,1,0.9083333333333334
